k,cluster,metric,mean,median,q05,q95,n_boot_effective,representation
2,ALL,global_pairwise_agreement,0.8979773242630386,0.8849721706864564,0.6866625438054009,1.0,500,raw
2,C1,cluster_jaccard,0.9293310463104084,0.9240506329113924,0.7934782608695652,1.0,500,raw
2,C2,cluster_jaccard,0.8016511178826615,0.7692307692307693,0.5,1.0,500,raw
3,ALL,global_pairwise_agreement,0.8163413729128015,0.8268398268398268,0.6064728921871779,1.0,500,raw
3,C1,cluster_jaccard,0.8290336107663545,0.8780487804878049,0.5541530829199149,1.0,500,raw
3,C2,cluster_jaccard,0.6476242373582873,0.5909090909090909,0.3076923076923077,1.0,500,raw
3,C3,cluster_jaccard,0.6694011285073195,0.8333333333333334,0.108695652173913,1.0,500,raw
4,ALL,global_pairwise_agreement,0.82737703566275,0.8281797567511853,0.6759431045145331,0.9727994227994228,500,raw
4,C1,cluster_jaccard,0.7678495240891171,0.8035714285714286,0.5333333333333333,0.9777777777777776,500,raw
4,C2,cluster_jaccard,0.7370757937410756,0.7592592592592593,0.4354838709677419,0.9534883720930232,500,raw
4,C3,cluster_jaccard,0.845304754420544,0.8333333333333334,0.4271428571428572,1.0,500,raw
4,C4,cluster_jaccard,0.7904846663603966,0.8571428571428571,0.3181818181818182,1.0,500,raw
5,ALL,global_pairwise_agreement,0.9420366934652648,0.9727891156462584,0.7558750773036488,1.0,500,raw
5,C1,cluster_jaccard,0.9388252863994508,0.96,0.6847619047619048,1.0,500,raw
5,C2,cluster_jaccard,0.8915027112750876,0.9583333333333334,0.4680851063829787,1.0,500,raw
5,C3,cluster_jaccard,0.8500402092474381,0.9411764705882352,0.3569327731092437,1.0,500,raw
5,C4,cluster_jaccard,0.9490159464718289,1.0,0.8273809523809528,1.0,500,raw
5,C5,cluster_jaccard,0.9439761939635274,1.0,0.6,1.0,500,raw
6,ALL,global_pairwise_agreement,0.8906353329210471,0.8748711605854463,0.799443413729128,1.0,500,raw
6,C1,cluster_jaccard,0.8963169358396541,0.96,0.72,1.0,500,raw
6,C2,cluster_jaccard,0.6844398686293273,0.6595744680851063,0.4,1.0,500,raw
6,C3,cluster_jaccard,0.5854579246785593,0.5714285714285714,0.2553191489361702,1.0,500,raw
6,C4,cluster_jaccard,0.7427276899085127,0.8235294117647058,0.375,1.0,500,raw
6,C5,cluster_jaccard,0.9769848484848483,1.0,0.8333333333333334,1.0,500,raw
6,C6,cluster_jaccard,0.912248262264052,1.0,0.6666666666666666,1.0,500,raw
