model,parameter,predictor,mean,sd,median,hdi_2.5%,hdi_97.5%,p_gt_0,p_lt_0,p_abs_gt_0.1
M_B,beta_mu,B_z,-0.0660319980989996,0.025751868608641,-0.0653012495823079,-0.1150628366571009,-0.0132066729070518,0.004875,0.995125,0.095625
M_B,beta_theta,B_z,0.1570653082568571,0.1077305567872262,0.157817251151128,-0.0649186461408549,0.3556164487387356,0.9295,0.0705,0.711375
M_M,beta_mu,Myeloid_z,0.012800146718407,0.0273846692637211,0.0119065367370791,-0.0411478097762104,0.0669149292516834,0.67825,0.32175,0.003125
M_M,beta_theta,Myeloid_z,-0.1266870352379839,0.0983635440174173,-0.122125306373631,-0.3181930217217343,0.0603626130294527,0.09225,0.90775,0.59425
M_E,beta_mu,B_z,-0.0725976662129844,0.0259971785475751,-0.0724534819901984,-0.1228375727455593,-0.0203806946690145,0.000875,0.999125,0.143625
M_E,beta_mu,Myeloid_z,0.0337857140155039,0.0325597409611551,0.0324138281699559,-0.0273563582038086,0.0998105851564753,0.857625,0.142375,0.027625
M_E,beta_theta,B_z,0.1990565256933189,0.1099974235047659,0.1993346602690285,-0.0256955370372784,0.4048649412891251,0.96475,0.03525,0.817375
M_E,beta_theta,Myeloid_z,-0.2064560648625569,0.1123568072411021,-0.2020825771444285,-0.4159812770131308,0.0191045601001459,0.0245,0.9755,0.82975
M_C,beta_mu,Context_z,-0.0241594432330186,0.0246210150674725,-0.0239204709423502,-0.0728117596486535,0.0240631333569524,0.163,0.837,0.001125
M_C,beta_theta,Context_z,0.0192613210086483,0.1026772240543234,0.0223192858300747,-0.1747367221450112,0.2258297051342547,0.584625,0.415375,0.33875
M_EC,beta_mu,B_z,-0.0926536522794969,0.0371130235837279,-0.0924330505514272,-0.1663270148153025,-0.0224686457002998,0.00775,0.99225,0.414875
M_EC,beta_mu,Myeloid_z,0.0189073193419013,0.0368489971092356,0.0181476520606618,-0.0552770298731126,0.0890806849228304,0.69775,0.30225,0.0195
M_EC,beta_mu,Context_z,0.0304236133365407,0.0400801116648088,0.0302222256964256,-0.0461902278603309,0.1077678217465996,0.775625,0.224375,0.043
M_EC,beta_theta,B_z,0.1822611446896261,0.1382338717886692,0.1832387712881507,-0.0946671756892793,0.4506058575901909,0.9085,0.0915,0.747125
M_EC,beta_theta,Myeloid_z,-0.2089611769661135,0.1231299553816838,-0.2051395302429322,-0.4525136682530782,0.025701835192043,0.03575,0.96425,0.81525
M_EC,beta_theta,Context_z,0.0030686935377237,0.1448087506434151,0.0060619117538601,-0.2841666513710912,0.2846216254779953,0.517125,0.482875,0.4915
M_S,beta_mu,ShuffledContext_z,-0.0383460668419134,0.0238013222446374,-0.038263432966967,-0.0877430018913864,0.006878454166774,0.05,0.95,0.007
M_S,beta_theta,ShuffledContext_z,0.0904655763564943,0.1023783585525934,0.0932008100995658,-0.1119258131601924,0.2890751915351501,0.812125,0.187875,0.5085
