model,prior_regime,parameter,predictor,mean,sd,hdi_2.5%,hdi_97.5%,p_gt_0,p_lt_0
M_B,narrow,beta_mu,B_z,-0.0698213100262004,0.0287653078271199,-0.1234803287031913,-0.0113334586415001,0.006,0.994
M_B,narrow,beta_theta,B_z,0.154368248691961,0.1054432532734952,-0.0433907709395391,0.3687555275446988,0.9276666666666666,0.0723333333333333
M_E,narrow,beta_mu,B_z,-0.0770354524948472,0.0283691836445355,-0.1320309021230554,-0.0199294760520229,0.0033333333333333,0.9966666666666668
M_E,narrow,beta_mu,Myeloid_z,0.0390036277652249,0.0353444491154987,-0.0271066150403891,0.1128387517321144,0.879,0.121
M_E,narrow,beta_theta,B_z,0.1935513222966478,0.1074054292269161,-0.0177660018053649,0.4025977571329109,0.9613333333333334,0.0386666666666666
M_E,narrow,beta_theta,Myeloid_z,-0.1989580338413912,0.105452111552543,-0.4153393546406559,-0.0085401557694943,0.0198333333333333,0.9801666666666666
M_C,narrow,beta_mu,Context_z,-0.0262426167713926,0.0280216540951552,-0.082220650867694,0.0272361018103161,0.1706666666666666,0.8293333333333334
M_C,narrow,beta_theta,Context_z,0.020712037822785,0.1007931218642236,-0.182275096456534,0.2158551371875013,0.5941666666666666,0.4058333333333333
M_B,reference,beta_mu,B_z,-0.065235349852416,0.0252955505069244,-0.1136861668660755,-0.0144765960801755,0.0051666666666666,0.9948333333333332
M_B,reference,beta_theta,B_z,0.1581675617995923,0.1081125782977914,-0.0452016956041314,0.3724978649937706,0.9251666666666668,0.0748333333333333
M_E,reference,beta_mu,B_z,-0.0727157830420232,0.0258807929251895,-0.1231809458106647,-0.0216791786574646,0.0026666666666666,0.9973333333333332
M_E,reference,beta_mu,Myeloid_z,0.0344193155097495,0.0323776600289235,-0.0262984270520245,0.1001323177855552,0.864,0.136
M_E,reference,beta_theta,B_z,0.2002100067365288,0.110677352411204,-0.0182343982732239,0.4098535839394615,0.9635,0.0365
M_E,reference,beta_theta,Myeloid_z,-0.2072744582181797,0.1134339486988086,-0.4281110668804631,0.0174377824988343,0.0266666666666666,0.9733333333333334
M_C,reference,beta_mu,Context_z,-0.0241535136575338,0.0249093717238202,-0.0755765231854782,0.0219396364264739,0.1585,0.8415
M_C,reference,beta_theta,Context_z,0.0188639635822462,0.1056797876937668,-0.1847843485746451,0.2192970834489939,0.5805,0.4195
M_B,wide,beta_mu,B_z,-0.0640880589356233,0.0242935688541479,-0.1137195206104121,-0.0190735267871877,0.0051666666666666,0.9948333333333332
M_B,wide,beta_theta,B_z,0.1688644046207518,0.1095720379821364,-0.0508085030747046,0.3704802482290005,0.9361666666666668,0.0638333333333333
M_E,wide,beta_mu,B_z,-0.0709508852475593,0.0248028378618288,-0.1211217166873869,-0.0248294820956904,0.0015,0.9985
M_E,wide,beta_mu,Myeloid_z,0.0322527975807612,0.0308998748688221,-0.0248926864457978,0.0951518894654736,0.8558333333333333,0.1441666666666666
M_E,wide,beta_theta,B_z,0.2139350412135634,0.110923042296709,-0.0013362347299215,0.4296214335627802,0.9731666666666666,0.0268333333333333
M_E,wide,beta_theta,Myeloid_z,-0.2076184672373931,0.1098083526323861,-0.4322077605411518,-0.000366318413624,0.0228333333333333,0.9771666666666666
M_C,wide,beta_mu,Context_z,-0.0239893766436116,0.0243783977203321,-0.0697360734405162,0.0267513469980103,0.1568333333333333,0.8431666666666666
M_C,wide,beta_theta,Context_z,0.0245315442150456,0.1040076271762773,-0.1713793367819698,0.2285112170581799,0.5991666666666666,0.4008333333333333
