model,parameter,predictor,mean,sd,median,hdi_2.5%,hdi_97.5%,p_gt_0,p_lt_0,family,epsilon
N_0,beta,n_prev_z,1.039012832996816,0.1567709708771571,1.0365709605745024,0.7318435508039809,1.346175340657267,1.0,0.0,ordinal_n,
N_0,beta,dt_z,-0.0811478832915168,0.1765236658920957,-0.0762101871518068,-0.4489975559745213,0.2487626373708208,0.330125,0.669875,ordinal_n,
N_B,beta,n_prev_z,1.0362677041457946,0.1589422426747828,1.0329389494546903,0.7340284869943682,1.3510951152514938,1.0,0.0,ordinal_n,
N_B,beta,dt_z,-0.0759608021585857,0.1706788274255871,-0.0697440850780722,-0.4390976618313696,0.2366333212512109,0.33575,0.66425,ordinal_n,
N_B,beta,B_z,-0.3333180639268625,0.1602719960218538,-0.3335411912296656,-0.6517184346254213,-0.0242385570187101,0.018875,0.981125,ordinal_n,
N_E,beta,n_prev_z,1.0390074398074398,0.1609436474319447,1.0377195042344831,0.7344077048811231,1.367457183488011,1.0,0.0,ordinal_n,
N_E,beta,dt_z,-0.0634396034881029,0.1741278241351178,-0.0573953942804607,-0.4018817943921718,0.278997019213209,0.370625,0.629375,ordinal_n,
N_E,beta,B_z,-0.3250559328049311,0.1679093282704558,-0.3226919191119294,-0.6399465795851407,0.0092118251541327,0.022375,0.977625,ordinal_n,
N_E,beta,Myeloid_z,-0.1783052091505433,0.1394204825407033,-0.1742608350520034,-0.4505084926345534,0.0952654323493996,0.09475,0.90525,ordinal_n,
N_C,beta,n_prev_z,1.03764007310617,0.1597290204330507,1.0344202569399643,0.7364378490100996,1.3590676961808323,1.0,0.0,ordinal_n,
N_C,beta,dt_z,-0.0807631182590977,0.1735824780117518,-0.075837661050934,-0.4344257647999764,0.247177377294255,0.32925,0.67075,ordinal_n,
N_C,beta,Context_z,-0.2020752394578353,0.1546878022100861,-0.2025917730684839,-0.5100861996717639,0.0941531880255317,0.09475,0.90525,ordinal_n,
N_EC,beta,n_prev_z,1.0376409176196912,0.1612604814321452,1.0334136400060796,0.736601436092112,1.3730559647553022,1.0,0.0,ordinal_n,
N_EC,beta,dt_z,-0.0619502776817252,0.1730550917790706,-0.0567522040829582,-0.386737561302499,0.2865821208382139,0.375125,0.624875,ordinal_n,
N_EC,beta,B_z,-0.3979948132095467,0.2046389536134661,-0.3970017502890089,-0.8025215539834817,-0.0121567143768601,0.02325,0.97675,ordinal_n,
N_EC,beta,Myeloid_z,-0.2425902920446347,0.1747266391913015,-0.2393347289735807,-0.5724249353701335,0.1065978503022204,0.0795,0.9205,ordinal_n,
N_EC,beta,Context_z,0.1421147108748124,0.2301901559991039,0.1402283621310247,-0.3047866481755518,0.5894134145410145,0.736375,0.263625,ordinal_n,
X_B_eps_0p01,beta_mu,B_z,-0.4308292251773424,0.1803847257509928,-0.4293095435239681,-0.7902928469904826,-0.0796350302373665,0.009125,0.990875,transformed_x,0.01
X_B_eps_0p01,beta_theta,B_z,0.2343473373530491,0.1056132425367769,0.2359905721532579,0.0238876750496889,0.4389992112289897,0.984125,0.015875,transformed_x,0.01
X_E_eps_0p01,beta_mu,B_z,-0.4817373476462777,0.1795996276997141,-0.4808292029811273,-0.8365557418892716,-0.1341654785601458,0.003625,0.996375,transformed_x,0.01
X_E_eps_0p01,beta_mu,Myeloid_z,0.3060769810700206,0.2296625974674039,0.2985658373483859,-0.1338882476101342,0.7688562060692851,0.91125,0.08875,transformed_x,0.01
X_E_eps_0p01,beta_theta,B_z,0.2903785771345557,0.1049034377506439,0.2899124192013333,0.0847533721586589,0.4945346222243832,0.997375,0.002625,transformed_x,0.01
X_E_eps_0p01,beta_theta,Myeloid_z,-0.2535702649483486,0.1245739386794269,-0.2449591844335751,-0.5023634953136942,-0.0228272080507104,0.011,0.989,transformed_x,0.01
X_C_eps_0p01,beta_mu,Context_z,-0.1651276256204197,0.1804061746621658,-0.1640274449142098,-0.5059983792120729,0.1920507717374162,0.181375,0.818625,transformed_x,0.01
X_C_eps_0p01,beta_theta,Context_z,0.0351101349283645,0.1040706474414423,0.0366810689489422,-0.1760484090170652,0.230965040304402,0.645,0.355,transformed_x,0.01
X_B_eps_0p025,beta_mu,B_z,-0.3951852164701242,0.1661823234555603,-0.3937051442523339,-0.7086104150366223,-0.0559130412397144,0.007,0.993,transformed_x,0.025
X_B_eps_0p025,beta_theta,B_z,0.2137378293013504,0.1066396909449917,0.2149276634225942,0.0027616084399902,0.4145161111236311,0.978125,0.021875,transformed_x,0.025
X_E_eps_0p025,beta_mu,B_z,-0.4405246028811147,0.1641489608598526,-0.4386138158524567,-0.7600386616293315,-0.1251235865786779,0.002625,0.997375,transformed_x,0.025
