project,scpca_sample_id,annotation_column,original_annotation,broad_class,cell_count,cell_fraction
SCPCP000022,SCPCS000652,consensus_celltype_annotation,Unknown,Unknown,1417,0.9626358695652174
SCPCP000022,SCPCS000652,consensus_celltype_annotation,erythroid lineage cell,Erythroid,34,0.02309782608695652
SCPCP000022,SCPCS000652,consensus_celltype_annotation,hematopoietic precursor cell,Progenitor,6,0.004076086956521739
SCPCP000022,SCPCS000652,consensus_celltype_annotation,common lymphoid progenitor,Progenitor,5,0.0033967391304347825
SCPCP000022,SCPCS000652,consensus_celltype_annotation,erythrocyte,Erythroid,5,0.0033967391304347825
SCPCP000022,SCPCS000652,consensus_celltype_annotation,"CD8-positive, alpha-beta T cell",TNK,2,0.001358695652173913
SCPCP000022,SCPCS000652,consensus_celltype_annotation,naive B cell,B,1,0.0006793478260869565
SCPCP000022,SCPCS000652,consensus_celltype_annotation,mature T cell,TNK,1,0.0006793478260869565
SCPCP000022,SCPCS000652,consensus_celltype_annotation,natural killer cell,TNK,1,0.0006793478260869565
SCPCP000022,SCPCS000652,consensus_celltype_annotation,myeloid leukocyte,Myeloid,0,0.0
SCPCP000022,SCPCS000652,consensus_celltype_annotation,mature NK T cell,TNK,0,0.0
SCPCP000022,SCPCS000652,consensus_celltype_annotation,mononuclear phagocyte,Myeloid,0,0.0
SCPCP000022,SCPCS000652,consensus_celltype_annotation,plasma cell,B,0,0.0
SCPCP000022,SCPCS000652,consensus_celltype_annotation,plasmacytoid dendritic cell,B,0,0.0
SCPCP000022,SCPCS000652,consensus_celltype_annotation,monocyte,Myeloid,0,0.0
SCPCP000022,SCPCS000652,consensus_celltype_annotation,memory T cell,TNK,0,0.0
SCPCP000022,SCPCS000652,consensus_celltype_annotation,memory B cell,B,0,0.0
SCPCP000022,SCPCS000652,consensus_celltype_annotation,platelet,Stromal,0,0.0
SCPCP000022,SCPCS000652,consensus_celltype_annotation,megakaryocyte,Other,0,0.0
SCPCP000022,SCPCS000652,consensus_celltype_annotation,mature alpha-beta T cell,TNK,0,0.0
SCPCP000022,SCPCS000652,consensus_celltype_annotation,B cell,B,0,0.0
SCPCP000022,SCPCS000652,consensus_celltype_annotation,hematopoietic stem cell,Progenitor,0,0.0
SCPCP000022,SCPCS000652,consensus_celltype_annotation,mature B cell,B,0,0.0
SCPCP000022,SCPCS000652,consensus_celltype_annotation,macrophage,Myeloid,0,0.0
SCPCP000022,SCPCS000652,consensus_celltype_annotation,lymphocyte of B lineage,B,0,0.0
SCPCP000022,SCPCS000652,consensus_celltype_annotation,"B cell, CD19-positive",B,0,0.0
SCPCP000022,SCPCS000652,consensus_celltype_annotation,hematopoietic oligopotent progenitor cell,Progenitor,0,0.0
SCPCP000022,SCPCS000652,consensus_celltype_annotation,granulocyte,Myeloid,0,0.0
SCPCP000022,SCPCS000652,consensus_celltype_annotation,fibroblast,Blast_Malignant,0,0.0
SCPCP000022,SCPCS000652,consensus_celltype_annotation,dendritic cell,Myeloid,0,0.0
SCPCP000022,SCPCS000652,consensus_celltype_annotation,antibody secreting cell,B,0,0.0
SCPCP000022,SCPCS000652,consensus_celltype_annotation,alpha-beta T cell,TNK,0,0.0
SCPCP000022,SCPCS000652,consensus_celltype_annotation,T cell,TNK,0,0.0
SCPCP000022,SCPCS000652,consensus_celltype_annotation,"CD8-positive, alpha-beta memory T cell",TNK,0,0.0
SCPCP000022,SCPCS000652,consensus_celltype_annotation,"CD4-positive, alpha-beta memory T cell",TNK,0,0.0
SCPCP000022,SCPCS000652,consensus_celltype_annotation,"CD4-positive, alpha-beta T cell",TNK,0,0.0
SCPCP000022,SCPCS000652,consensus_celltype_annotation,regulatory T cell,TNK,0,0.0
SCPCP000022,SCPCS000653,consensus_celltype_annotation,common lymphoid progenitor,Progenitor,55,0.7333333333333333
SCPCP000022,SCPCS000653,consensus_celltype_annotation,Unknown,Unknown,8,0.10666666666666667
SCPCP000022,SCPCS000653,consensus_celltype_annotation,hematopoietic precursor cell,Progenitor,8,0.10666666666666667
SCPCP000022,SCPCS000653,consensus_celltype_annotation,erythrocyte,Erythroid,2,0.02666666666666667
SCPCP000022,SCPCS000653,consensus_celltype_annotation,B cell,B,2,0.02666666666666667
SCPCP000022,SCPCS000653,consensus_celltype_annotation,natural killer cell,TNK,0,0.0
SCPCP000022,SCPCS000653,consensus_celltype_annotation,naive B cell,B,0,0.0
SCPCP000022,SCPCS000653,consensus_celltype_annotation,plasma cell,B,0,0.0
SCPCP000022,SCPCS000653,consensus_celltype_annotation,myeloid leukocyte,Myeloid,0,0.0
SCPCP000022,SCPCS000653,consensus_celltype_annotation,mononuclear phagocyte,Myeloid,0,0.0
SCPCP000022,SCPCS000653,consensus_celltype_annotation,mature B cell,B,0,0.0
SCPCP000022,SCPCS000653,consensus_celltype_annotation,monocyte,Myeloid,0,0.0
SCPCP000022,SCPCS000653,consensus_celltype_annotation,plasmacytoid dendritic cell,B,0,0.0
SCPCP000022,SCPCS000653,consensus_celltype_annotation,memory T cell,TNK,0,0.0
SCPCP000022,SCPCS000653,consensus_celltype_annotation,memory B cell,B,0,0.0
SCPCP000022,SCPCS000653,consensus_celltype_annotation,megakaryocyte,Other,0,0.0
SCPCP000022,SCPCS000653,consensus_celltype_annotation,mature alpha-beta T cell,TNK,0,0.0
SCPCP000022,SCPCS000653,consensus_celltype_annotation,platelet,Stromal,0,0.0
SCPCP000022,SCPCS000653,consensus_celltype_annotation,mature T cell,TNK,0,0.0
SCPCP000022,SCPCS000653,consensus_celltype_annotation,mature NK T cell,TNK,0,0.0
SCPCP000022,SCPCS000653,consensus_celltype_annotation,hematopoietic stem cell,Progenitor,0,0.0
SCPCP000022,SCPCS000653,consensus_celltype_annotation,macrophage,Myeloid,0,0.0
SCPCP000022,SCPCS000653,consensus_celltype_annotation,lymphocyte of B lineage,B,0,0.0
SCPCP000022,SCPCS000653,consensus_celltype_annotation,"B cell, CD19-positive",B,0,0.0
SCPCP000022,SCPCS000653,consensus_celltype_annotation,hematopoietic oligopotent progenitor cell,Progenitor,0,0.0
SCPCP000022,SCPCS000653,consensus_celltype_annotation,granulocyte,Myeloid,0,0.0
SCPCP000022,SCPCS000653,consensus_celltype_annotation,fibroblast,Blast_Malignant,0,0.0
