k,cluster,metric,mean,median,q05,q95,n_boot_effective,representation
2,ALL,global_pairwise_agreement,0.9837856112141826,1.0,0.9216656359513502,1.0,500,clr
2,C1,cluster_jaccard,0.9623655502392344,1.0,0.8181818181818182,1.0,500,clr
2,C2,cluster_jaccard,0.9896184294259895,1.0,0.9506172839506173,1.0,500,clr
3,ALL,global_pairwise_agreement,0.9824819624819624,1.0,0.9006390434961864,1.0,500,clr
3,C1,cluster_jaccard,0.846,1.0,0.08333333333333333,1.0,500,clr
3,C2,cluster_jaccard,0.981,1.0,0.9,1.0,500,clr
3,C3,cluster_jaccard,0.9866538396624471,1.0,0.9240506329113924,1.0,500,clr
4,ALL,global_pairwise_agreement,0.9884155844155844,1.0,0.9682539682539683,1.0,500,clr
4,C1,cluster_jaccard,0.9533333333333334,1.0,0.6666666666666666,1.0,500,clr
4,C2,cluster_jaccard,1.0,1.0,1.0,1.0,500,clr
4,C3,cluster_jaccard,0.9866301369863013,1.0,0.9733333333333334,1.0,500,clr
4,C4,cluster_jaccard,0.8358709449603791,1.0,0.02666666666666667,1.0,500,clr
5,ALL,global_pairwise_agreement,0.9301096681096681,1.0,0.7262420119562977,1.0,500,clr
5,C1,cluster_jaccard,0.8609333333333334,1.0,0.3333333333333333,1.0,500,clr
5,C2,cluster_jaccard,0.9298666666666665,1.0,0.6666666666666666,1.0,500,clr
5,C3,cluster_jaccard,0.9997777777777779,1.0,1.0,1.0,500,clr
5,C4,cluster_jaccard,0.9081979908675798,1.0,0.5753424657534246,1.0,500,clr
5,C5,cluster_jaccard,0.8860490823550726,1.0,0.09020979020979025,1.0,500,clr
6,ALL,global_pairwise_agreement,0.8687124304267161,0.8594104308390023,0.7546691403834261,1.0,500,clr
6,C1,cluster_jaccard,0.8876000000000001,1.0,0.3333333333333333,1.0,500,clr
6,C2,cluster_jaccard,0.9431999999999999,1.0,0.6666666666666666,1.0,500,clr
6,C3,cluster_jaccard,0.7716779929261913,0.8153846153846154,0.5076923076923077,1.0,500,clr
6,C4,cluster_jaccard,0.998,1.0,1.0,1.0,500,clr
6,C5,cluster_jaccard,0.6643128684715729,0.5882352941176471,0.36363636363636365,1.0,500,clr
6,C6,cluster_jaccard,0.8691530238002972,1.0,0.0903636363636364,1.0,500,clr
