k,metric,cluster,mean,median,q05,q95,n_boot_effective,representation
2,global_pairwise_agreement,ALL,0.987663928304705,1.0,0.9253174010455564,1.0,500,clr
2,cluster_jaccard,C1,0.9699672727272728,1.0,0.8181818181818182,1.0,500,clr
2,cluster_jaccard,C2,0.9922106703146374,1.0,0.9534883720930233,1.0,500,clr
3,global_pairwise_agreement,ALL,0.9815892457057505,1.0,0.9044062733383121,1.0,500,clr
3,cluster_jaccard,C1,0.8331666666666667,1.0,0.08333333333333333,1.0,500,clr
3,cluster_jaccard,C2,0.978975,1.0,0.9,1.0,500,clr
3,cluster_jaccard,C3,0.9862918367346938,1.0,0.9285714285714286,1.0,500,clr
4,global_pairwise_agreement,ALL,0.9880250186706498,1.0,0.9693801344286781,1.0,500,clr
4,cluster_jaccard,C1,0.9506666666666668,1.0,0.6666666666666666,1.0,500,clr
4,cluster_jaccard,C2,1.0,1.0,1.0,1.0,500,clr
4,cluster_jaccard,C3,0.9860999999999999,1.0,0.975,1.0,500,clr
4,cluster_jaccard,C4,0.8294482164617047,1.0,0.025,1.0,500,clr
5,global_pairwise_agreement,ALL,0.9137569081404033,1.0,0.7130787901418969,1.0,500,clr
5,cluster_jaccard,C1,0.8439833333333333,1.0,0.3333333333333333,1.0,500,clr
5,cluster_jaccard,C2,0.9194808753690153,1.0,0.6666666666666666,1.0,500,clr
5,cluster_jaccard,C3,0.9996,1.0,1.0,1.0,500,clr
5,cluster_jaccard,C4,0.8850958880550344,1.0,0.5512820512820513,1.0,500,clr
5,cluster_jaccard,C5,0.8828139717036656,1.0,0.05555555555555555,1.0,500,clr
6,global_pairwise_agreement,ALL,0.8770884988797611,0.8648244958924571,0.7463405526512322,1.0,500,clr
6,cluster_jaccard,C1,0.9068,1.0,0.3333333333333333,1.0,500,clr
6,cluster_jaccard,C2,0.953,1.0,0.6666666666666666,1.0,500,clr
6,cluster_jaccard,C3,0.7864942377723844,0.8,0.4850649350649351,1.0,500,clr
6,cluster_jaccard,C4,0.9955555555555555,1.0,1.0,1.0,500,clr
6,cluster_jaccard,C5,0.717174574133264,0.6764705882352942,0.34782608695652173,1.0,500,clr
6,cluster_jaccard,C6,0.8934435410449896,1.0,0.10500000000000001,1.0,500,clr
