k,metric,cluster,mean,median,q05,q95,n_boot_effective,representation
2,global_pairwise_agreement,ALL,0.9134574309185961,0.943427931292009,0.697862210604929,1.0,500,raw
2,cluster_jaccard,C1,0.9394528334170084,0.961275816122585,0.7835051546391752,1.0,500,raw
2,cluster_jaccard,C2,0.8361024355841639,0.8980414746543779,0.509090909090909,1.0,500,raw
3,global_pairwise_agreement,ALL,0.805144137415982,0.8020911127707244,0.6022591486183719,1.0,500,raw
3,cluster_jaccard,C1,0.8218075183300695,0.8620689655172413,0.564631507775524,1.0,500,raw
3,cluster_jaccard,C2,0.6249358203451446,0.5416666666666666,0.2916666666666667,1.0,500,raw
3,cluster_jaccard,C3,0.6086657571634928,0.8333333333333334,0.10204081632653061,1.0,500,raw
4,global_pairwise_agreement,ALL,0.8207214339058999,0.8015309932785661,0.6654219566840927,1.0,500,raw
4,cluster_jaccard,C1,0.7571555151624222,0.765625,0.5102040816326531,1.0,500,raw
4,cluster_jaccard,C2,0.7197725167437207,0.711864406779661,0.39380764163372856,1.0,500,raw
4,cluster_jaccard,C3,0.8444674827479546,1.0,0.27704678362573104,1.0,500,raw
4,cluster_jaccard,C4,0.7773683505570025,0.8571428571428571,0.30434782608695654,1.0,500,raw
5,global_pairwise_agreement,ALL,0.9464510828976848,0.9740477968633309,0.7871545929798357,1.0,500,raw
5,cluster_jaccard,C1,0.9505064500916901,0.9615384615384616,0.8061290322580645,1.0,500,raw
5,cluster_jaccard,C2,0.9009033354376761,0.96,0.56,1.0,500,raw
5,cluster_jaccard,C3,0.8602889347240988,0.9473684210526315,0.36818181818181817,1.0,500,raw
5,cluster_jaccard,C4,0.9621955862764687,1.0,0.8273809523809528,1.0,500,raw
5,cluster_jaccard,C5,0.9465816225547683,1.0,0.5431818181818183,1.0,500,raw
6,global_pairwise_agreement,ALL,0.8926486183719193,0.8823749066467512,0.808037714712472,0.9902912621359223,500,raw
6,cluster_jaccard,C1,0.9021574867501622,0.9230769230769231,0.7692307692307693,1.0,500,raw
6,cluster_jaccard,C2,0.6981376484419966,0.6976744186046512,0.4,0.972972972972973,500,raw
6,cluster_jaccard,C3,0.5943289999062058,0.5882352941176471,0.26,1.0,500,raw
6,cluster_jaccard,C4,0.7279811575553959,0.7777777777777778,0.3684210526315789,1.0,500,raw
6,cluster_jaccard,C5,0.9749419968919969,1.0,0.8333333333333334,1.0,500,raw
6,cluster_jaccard,C6,0.9366994505494506,1.0,0.6666666666666666,1.0,500,raw
