model,divergences,max_rhat,min_ess_bulk,min_ess_tail,family,epsilon
N_0,0,1.0,5519.0,4849.0,ordinal_n,
N_B,0,1.0,7438.0,4367.0,ordinal_n,
N_E,0,1.0,7981.0,5087.0,ordinal_n,
N_C,0,1.0,7619.0,5169.0,ordinal_n,
N_EC,0,1.0,4224.0,5026.0,ordinal_n,
X_0_eps_0p01,0,1.0,3571.0,4341.0,transformed_x,0.01
X_B_eps_0p01,0,1.0,4169.0,4771.0,transformed_x,0.01
X_E_eps_0p01,0,1.0,4394.0,4594.0,transformed_x,0.01
X_C_eps_0p01,0,1.0,4296.0,5178.0,transformed_x,0.01
X_0_eps_0p025,0,1.0,3245.0,3998.0,transformed_x,0.025
X_B_eps_0p025,0,1.0,4493.0,4325.0,transformed_x,0.025
X_E_eps_0p025,0,1.0,3747.0,4111.0,transformed_x,0.025
X_C_eps_0p025,0,1.0,3981.0,4942.0,transformed_x,0.025
X_0_eps_0p05,0,1.0,3159.0,4091.0,transformed_x,0.05
X_B_eps_0p05,0,1.0,4074.0,5069.0,transformed_x,0.05
X_E_eps_0p05,0,1.0,4276.0,4451.0,transformed_x,0.05
X_C_eps_0p05,0,1.0,3895.0,4821.0,transformed_x,0.05
