model,elpd_loo,se_elpd_loo,p_loo,n_pareto_gt_0_5,n_pareto_gt_0_7,n_pareto_gt_1_0,max_pareto_k,family,epsilon
N_0,-152.77699658119138,9.961444636417358,3.7258718969905544,0,0,0,0.2334705540608727,ordinal_n,
N_B,-151.51300360098986,10.150581865881282,4.738165826158138,0,0,0,0.24350836718458993,ordinal_n,
N_E,-151.75181403711304,10.351714473995564,5.7644349806524815,0,0,0,0.2634143628098895,ordinal_n,
N_C,-152.91514501315532,10.124484093182751,4.750205817967924,0,0,0,0.20142924451621896,ordinal_n,
N_EC,-152.07939053260912,10.35743884122832,6.507626469379829,0,0,0,0.32736211934082865,ordinal_n,
X_0_eps_0p01,-517.0821863500844,31.1552475566523,8.783046663346568,1,1,0,0.8302115535838495,transformed_x,0.01
X_B_eps_0p01,-513.6595009778415,32.794215591487024,12.600557339208478,1,1,1,1.1079063155708886,transformed_x,0.01
X_E_eps_0p01,-513.564615365641,33.73900918901783,15.600844896536728,3,1,0,0.9106144865911127,transformed_x,0.01
X_C_eps_0p01,-519.5819670335943,31.74100355513875,12.172273051092475,1,1,0,0.9110768962521619,transformed_x,0.01
X_0_eps_0p025,-483.60612179713496,28.6432614477326,8.73155917585666,1,1,0,0.9906049292901904,transformed_x,0.025
X_B_eps_0p025,-479.60962019028193,29.38522063416414,11.25402992517229,1,1,1,1.0888379758617577,transformed_x,0.025
X_E_eps_0p025,-480.61801054785855,30.90245528474583,15.059902756712916,2,2,1,1.0890360358992663,transformed_x,0.025
X_C_eps_0p025,-485.1824285543571,28.48851636098985,11.084794466861808,1,1,0,0.898238831773503,transformed_x,0.025
X_0_eps_0p05,-456.222602914494,27.172117148721636,9.182305512117068,1,1,1,1.29815359886919,transformed_x,0.05
X_B_eps_0p05,-451.9458827830157,27.485333565848844,11.229470811957299,3,1,1,1.0874736231763478,transformed_x,0.05
X_E_eps_0p05,-452.54862687937595,28.389941504207997,14.28940365898137,2,1,1,1.342063009933106,transformed_x,0.05
X_C_eps_0p05,-457.53007600817443,26.901069299573194,11.302708524546915,1,1,1,1.1256998372053497,transformed_x,0.05
