model,parameter,predictor,mean,sd,median,hdi_2.5%,hdi_97.5%,p_gt_0,p_lt_0,family,epsilon
N_0,beta,n_prev_z,1.039012832996816,0.15677097087715713,1.0365709605745024,0.7318435508039809,1.346175340657267,1.0,0.0,ordinal_n,
N_0,beta,dt_z,-0.0811478832915168,0.17652366589209573,-0.0762101871518068,-0.44899755597452135,0.24876263737082085,0.330125,0.669875,ordinal_n,
N_B,beta,n_prev_z,1.0362677041457946,0.15894224267478288,1.0329389494546903,0.7340284869943682,1.3510951152514938,1.0,0.0,ordinal_n,
N_B,beta,dt_z,-0.07596080215858575,0.17067882742558718,-0.06974408507807223,-0.43909766183136967,0.23663332125121092,0.33575,0.66425,ordinal_n,
N_B,beta,B_z,-0.3333180639268625,0.16027199602185382,-0.3335411912296656,-0.6517184346254213,-0.024238557018710152,0.018875,0.981125,ordinal_n,
N_E,beta,n_prev_z,1.0390074398074398,0.16094364743194473,1.0377195042344831,0.7344077048811231,1.367457183488011,1.0,0.0,ordinal_n,
N_E,beta,dt_z,-0.06343960348810293,0.17412782413511782,-0.0573953942804607,-0.4018817943921718,0.278997019213209,0.370625,0.629375,ordinal_n,
N_E,beta,B_z,-0.3250559328049311,0.16790932827045585,-0.3226919191119294,-0.6399465795851407,0.009211825154132734,0.022375,0.977625,ordinal_n,
N_E,beta,Myeloid_z,-0.17830520915054338,0.13942048254070338,-0.17426083505200346,-0.45050849263455345,0.09526543234939965,0.09475,0.90525,ordinal_n,
N_C,beta,n_prev_z,1.0376400731061701,0.15972902043305076,1.0344202569399643,0.7364378490100996,1.3590676961808323,1.0,0.0,ordinal_n,
N_C,beta,dt_z,-0.08076311825909772,0.17358247801175183,-0.07583766105093404,-0.4344257647999764,0.24717737729425507,0.32925,0.67075,ordinal_n,
N_C,beta,Context_z,-0.20207523945783534,0.15468780221008618,-0.20259177306848397,-0.5100861996717639,0.09415318802553171,0.09475,0.90525,ordinal_n,
N_EC,beta,n_prev_z,1.0376409176196912,0.16126048143214528,1.0334136400060796,0.736601436092112,1.3730559647553022,1.0,0.0,ordinal_n,
N_EC,beta,dt_z,-0.06195027768172529,0.1730550917790706,-0.05675220408295829,-0.38673756130249903,0.28658212083821394,0.375125,0.624875,ordinal_n,
N_EC,beta,B_z,-0.3979948132095467,0.20463895361346612,-0.39700175028900897,-0.8025215539834817,-0.012156714376860155,0.02325,0.97675,ordinal_n,
N_EC,beta,Myeloid_z,-0.24259029204463473,0.17472663919130155,-0.23933472897358077,-0.5724249353701335,0.10659785030222042,0.0795,0.9205,ordinal_n,
N_EC,beta,Context_z,0.1421147108748124,0.23019015599910395,0.14022836213102474,-0.3047866481755518,0.5894134145410145,0.736375,0.263625,ordinal_n,
X_B_eps_0p01,beta_mu,B_z,-0.43082922517734246,0.18038472575099287,-0.4293095435239681,-0.7902928469904826,-0.07963503023736654,0.009125,0.990875,transformed_x,0.01
X_B_eps_0p01,beta_theta,B_z,0.23434733735304916,0.1056132425367769,0.23599057215325797,0.02388767504968891,0.4389992112289897,0.984125,0.015875,transformed_x,0.01
X_E_eps_0p01,beta_mu,B_z,-0.48173734764627774,0.1795996276997141,-0.48082920298112736,-0.8365557418892716,-0.1341654785601458,0.003625,0.996375,transformed_x,0.01
X_E_eps_0p01,beta_mu,Myeloid_z,0.3060769810700206,0.22966259746740394,0.29856583734838593,-0.13388824761013426,0.7688562060692851,0.91125,0.08875,transformed_x,0.01
