model,Patient_ID,divergences,max_rhat,min_ess_bulk
X_0,P1,0,1.0,788.0
X_0,P100,0,1.0,753.0
X_0,P12,0,1.0,791.0
X_0,P15,0,1.0,827.0
X_0,P16,0,1.0,809.0
X_0,P17,0,1.0,954.0
X_0,P19,0,1.01,841.0
X_0,P2,0,1.0,905.0
X_0,P22,0,1.0,892.0
X_0,P23,0,1.0,883.0
X_0,P24,0,1.0,817.0
X_0,P26,0,1.0,871.0
X_0,P27,0,1.0,847.0
X_0,P28,0,1.0,934.0
X_0,P29,0,1.0,708.0
X_0,P3,0,1.0,890.0
X_0,P30,0,1.0,872.0
X_0,P32,0,1.0,850.0
X_0,P47,0,1.0,754.0
X_0,P56,0,1.0,681.0
X_0,P57,0,1.01,762.0
X_0,P58,0,1.01,766.0
X_0,P59,0,1.01,943.0
X_0,P63,0,1.0,826.0
X_0,P68,0,1.0,780.0
X_0,P69,0,1.0,811.0
X_0,P7,0,1.0,905.0
X_0,P70,0,1.0,756.0
X_0,P77,0,1.0,671.0
X_0,P8,0,1.0,844.0
X_0,P83,0,1.0,883.0
X_0,P89,0,1.0,849.0
X_0,P95,0,1.01,951.0
X_0,P99,0,1.0,904.0
X_B,P1,0,1.0,1087.0
X_B,P100,0,1.0,1006.0
X_B,P12,0,1.0,1095.0
X_B,P15,0,1.0,1099.0
X_B,P16,0,1.0,793.0
X_B,P17,0,1.0,1016.0
X_B,P19,0,1.0,1116.0
X_B,P2,0,1.0,1250.0
X_B,P22,0,1.0,858.0
X_B,P23,0,1.0,1031.0
X_B,P24,0,1.0,1049.0
X_B,P26,0,1.0,954.0
X_B,P27,0,1.0,945.0
X_B,P28,0,1.01,1015.0
X_B,P29,0,1.0,1016.0
X_B,P3,0,1.0,1094.0
X_B,P30,0,1.0,1011.0
X_B,P32,0,1.0,1021.0
X_B,P47,0,1.0,1187.0
X_B,P56,0,1.0,900.0
X_B,P57,0,1.0,1049.0
X_B,P58,0,1.0,1022.0
X_B,P59,0,1.0,1182.0
X_B,P63,0,1.0,1009.0
X_B,P68,0,1.0,1115.0
X_B,P69,0,1.0,1058.0
X_B,P7,0,1.0,1083.0
X_B,P70,0,1.01,901.0
X_B,P77,0,1.0,1077.0
X_B,P8,0,1.0,1041.0
X_B,P83,0,1.0,813.0
X_B,P89,0,1.0,1000.0
X_B,P95,0,1.01,865.0
X_B,P99,0,1.0,1017.0
X_E,P1,0,1.01,871.0
X_E,P100,0,1.0,1047.0
X_E,P12,0,1.0,1112.0
X_E,P15,0,1.0,1008.0
X_E,P16,0,1.0,1053.0
X_E,P17,0,1.0,1113.0
X_E,P19,0,1.0,823.0
X_E,P2,0,1.01,803.0
X_E,P22,0,1.0,958.0
X_E,P23,0,1.01,879.0
X_E,P24,0,1.0,814.0
X_E,P26,0,1.0,1031.0
X_E,P27,0,1.0,995.0
X_E,P28,0,1.0,913.0
X_E,P29,0,1.0,910.0
X_E,P3,0,1.0,1100.0
X_E,P30,0,1.0,1024.0
X_E,P32,0,1.0,992.0
X_E,P47,0,1.0,1355.0
X_E,P56,0,1.0,1071.0
X_E,P57,0,1.0,1118.0
X_E,P58,0,1.0,1091.0
X_E,P59,0,1.0,1115.0
X_E,P63,0,1.0,980.0
X_E,P68,0,1.0,1021.0
X_E,P69,0,1.0,829.0
X_E,P7,0,1.0,1181.0
X_E,P70,0,1.0,1058.0
X_E,P77,0,1.0,1313.0
X_E,P8,0,1.0,965.0
X_E,P83,0,1.0,979.0
X_E,P89,0,1.0,906.0
X_E,P95,0,1.01,1130.0
X_E,P99,0,1.0,1103.0
X_C,P1,0,1.0,1091.0
X_C,P100,0,1.0,756.0
X_C,P12,0,1.0,1105.0
X_C,P15,0,1.0,1031.0
X_C,P16,0,1.0,1213.0
X_C,P17,0,1.0,1109.0
X_C,P19,0,1.0,1025.0
X_C,P2,0,1.0,955.0
X_C,P22,0,1.0,1054.0
X_C,P23,0,1.0,1000.0
X_C,P24,0,1.0,989.0
X_C,P26,0,1.0,1021.0
X_C,P27,0,1.0,1127.0
X_C,P28,0,1.01,1029.0
X_C,P29,0,1.0,1059.0
X_C,P3,0,1.0,805.0
X_C,P30,0,1.0,1048.0
X_C,P32,0,1.0,886.0
X_C,P47,0,1.0,1037.0
X_C,P56,0,1.0,1151.0
X_C,P57,0,1.0,979.0
X_C,P58,0,1.0,953.0
X_C,P59,0,1.01,1040.0
X_C,P63,0,1.0,984.0
X_C,P68,0,1.0,1084.0
X_C,P69,0,1.01,808.0
X_C,P7,0,1.0,1167.0
X_C,P70,0,1.0,1186.0
X_C,P77,0,1.0,1012.0
X_C,P8,0,1.0,988.0
X_C,P83,0,1.0,959.0
X_C,P89,0,1.0,1041.0
X_C,P95,0,1.0,881.0
X_C,P99,0,1.0,1250.0
