epsilon,raw_value,clipped_value,logit_value
0.01,0.05,0.05,-2.9444389791664403
0.01,0.1,0.1,-2.197224577336219
0.01,0.15,0.15,-1.7346010553881064
0.01,0.29,0.29,-0.8953840470548413
0.01,0.5,0.5,0.0
0.01,1.0,0.99,4.595119850134589
0.025,0.05,0.05,-2.9444389791664403
0.025,0.1,0.1,-2.197224577336219
0.025,0.15,0.15,-1.7346010553881064
0.025,0.29,0.29,-0.8953840470548413
0.025,0.5,0.5,0.0
0.025,1.0,0.975,3.6635616461296454
0.05,0.05,0.05,-2.9444389791664403
0.05,0.1,0.1,-2.197224577336219
0.05,0.15,0.15,-1.7346010553881064
0.05,0.29,0.29,-0.8953840470548413
0.05,0.5,0.5,0.0
0.05,1.0,0.95,2.9444389791664394
