model,prior_regime,parameter,predictor,mean,sd,hdi_2.5%,hdi_97.5%,p_gt_0,p_lt_0
M_B,narrow,beta_mu,B_z,-0.06982131002620044,0.02876530782711992,-0.12348032870319138,-0.011333458641500187,0.006,0.994
M_B,narrow,beta_theta,B_z,0.154368248691961,0.10544325327349524,-0.04339077093953917,0.3687555275446988,0.9276666666666666,0.07233333333333333
M_E,narrow,beta_mu,B_z,-0.07703545249484726,0.02836918364453553,-0.1320309021230554,-0.019929476052022915,0.0033333333333333335,0.9966666666666667
M_E,narrow,beta_mu,Myeloid_z,0.03900362776522497,0.03534444911549876,-0.027106615040389102,0.11283875173211441,0.879,0.121
M_E,narrow,beta_theta,B_z,0.1935513222966478,0.10740542922691611,-0.01776600180536498,0.40259775713291096,0.9613333333333334,0.03866666666666667
M_E,narrow,beta_theta,Myeloid_z,-0.19895803384139124,0.10545211155254301,-0.41533935464065597,-0.008540155769494311,0.019833333333333335,0.9801666666666666
M_C,narrow,beta_mu,Context_z,-0.026242616771392675,0.02802165409515528,-0.08222065086769408,0.0272361018103161,0.17066666666666666,0.8293333333333334
M_C,narrow,beta_theta,Context_z,0.020712037822785013,0.10079312186422369,-0.18227509645653406,0.21585513718750135,0.5941666666666666,0.4058333333333333
M_B,reference,beta_mu,B_z,-0.06523534985241607,0.025295550506924436,-0.1136861668660755,-0.014476596080175578,0.005166666666666667,0.9948333333333333
M_B,reference,beta_theta,B_z,0.15816756179959232,0.1081125782977914,-0.04520169560413143,0.3724978649937706,0.9251666666666667,0.07483333333333334
M_E,reference,beta_mu,B_z,-0.0727157830420232,0.025880792925189546,-0.12318094581066479,-0.021679178657464607,0.0026666666666666666,0.9973333333333333
M_E,reference,beta_mu,Myeloid_z,0.03441931550974953,0.03237766002892351,-0.02629842705202458,0.10013231778555527,0.864,0.136
M_E,reference,beta_theta,B_z,0.2002100067365288,0.11067735241120402,-0.01823439827322395,0.40985358393946153,0.9635,0.0365
M_E,reference,beta_theta,Myeloid_z,-0.20727445821817972,0.11343394869880863,-0.42811106688046313,0.017437782498834382,0.02666666666666667,0.9733333333333334
M_C,reference,beta_mu,Context_z,-0.02415351365753386,0.02490937172382024,-0.07557652318547821,0.02193963642647396,0.1585,0.8415
M_C,reference,beta_theta,Context_z,0.018863963582246217,0.10567978769376683,-0.18478434857464515,0.21929708344899398,0.5805,0.4195
M_B,wide,beta_mu,B_z,-0.06408805893562336,0.024293568854147997,-0.11371952061041218,-0.019073526787187715,0.005166666666666667,0.9948333333333333
M_B,wide,beta_theta,B_z,0.16886440462075183,0.1095720379821364,-0.05080850307470461,0.37048024822900055,0.9361666666666667,0.06383333333333334
M_E,wide,beta_mu,B_z,-0.07095088524755933,0.02480283786182886,-0.12112171668738698,-0.02482948209569042,0.0015,0.9985
M_E,wide,beta_mu,Myeloid_z,0.03225279758076124,0.030899874868822175,-0.02489268644579783,0.09515188946547365,0.8558333333333333,0.14416666666666667
M_E,wide,beta_theta,B_z,0.2139350412135634,0.11092304229670907,-0.0013362347299215457,0.4296214335627802,0.9731666666666666,0.026833333333333334
M_E,wide,beta_theta,Myeloid_z,-0.20761846723739313,0.10980835263238616,-0.43220776054115184,-0.00036631841362407377,0.022833333333333334,0.9771666666666666
M_C,wide,beta_mu,Context_z,-0.023989376643611674,0.02437839772033217,-0.06973607344051622,0.02675134699801038,0.15683333333333332,0.8431666666666666
M_C,wide,beta_theta,Context_z,0.02453154421504566,0.10400762717627737,-0.17137933678196987,0.22851121705817992,0.5991666666666666,0.4008333333333333
