model,prior_regime,divergences,max_rhat,min_ess_bulk,elpd_loo,p_loo,max_pareto_k
M_0,narrow,0,1.0,2222.0,-91.1768626190198,7.71850518564807,1.0122122855961704
M_B,narrow,0,1.0,3009.0,-87.61465834782109,9.985519155488674,1.0254829140815913
M_E,narrow,0,1.0,3209.0,-88.62991560942574,13.080776279290319,1.1742654725780595
M_C,narrow,0,1.0,3275.0,-93.22397119336307,9.993984102077903,1.1073757408817435
M_0,reference,0,1.0,1990.0,-76.8037784318662,5.925268263347974,1.0785137912215863
M_B,reference,0,1.0,3341.0,-73.3212527082429,8.149723802200157,1.0083696569066056
M_E,reference,0,1.0,3676.0,-74.67381944696743,11.427608076740867,0.9293339791738422
M_C,reference,0,1.0,3146.0,-78.47455261610659,8.139600176950012,1.0205006096745168
M_0,wide,0,1.0,1896.0,-71.51379564202746,4.527511269476875,0.9098391367191627
M_B,wide,0,1.0,2826.0,-68.31352352009756,7.125285765931693,0.8441378596857212
M_E,wide,0,1.0,2568.0,-69.45603727846573,10.2836419761365,0.865686367719418
M_C,wide,0,1.0,2856.0,-73.46347587567071,7.0634369416793845,0.9742519188254556
