scenario,model,parameter,true_value,mean_estimate,bias,rmse,coverage_95,mean_divergences,n_replicates
moderate_directional,M_0,mu_0,0.25,0.22863245430578233,-0.021367545694217706,0.056599620081718906,1.0,0.0,5
moderate_directional,M_0,sigma_proc,0.3,0.29426060551312394,-0.0057393944868760595,0.009858455191373208,1.0,0.0,5
moderate_directional,M_0,theta_0,0.0,-0.09846388525332843,-0.09846388525332843,0.1482792124173338,1.0,0.0,5
moderate_directional,M_E,beta_mu_B_z,-0.07,-0.017496387126427464,0.052503612873572546,0.08829283481111193,0.8,0.0,5
moderate_directional,M_E,beta_mu_Myeloid_z,0.03,0.0557366575886173,0.025736657588617297,0.0662509925633438,1.0,0.0,5
moderate_directional,M_E,beta_theta_B_z,0.2,0.23806668842044543,0.03806668842044541,0.13156532015127756,1.0,0.0,5
moderate_directional,M_E,beta_theta_Myeloid_z,-0.2,-0.1176217822106583,0.0823782177893417,0.21144068888877415,1.0,0.0,5
moderate_directional,M_E,mu_0,0.25,0.19475915454475717,-0.05524084545524281,0.06423145106048325,1.0,0.0,5
moderate_directional,M_E,sigma_proc,0.3,0.29964858000061223,-0.0003514199993877476,0.009303315690497204,1.0,0.0,5
moderate_directional,M_E,theta_0,0.0,-0.08522662440084207,-0.08522662440084207,0.13263433618097042,1.0,0.0,5
null,M_0,mu_0,0.25,0.1500506668456107,-0.0999493331543893,0.13189293765670515,1.0,0.0,5
null,M_0,sigma_proc,0.3,0.30097322328016196,0.000973223280161939,0.016719369543632234,1.0,0.0,5
null,M_0,theta_0,0.0,-0.19831690399875268,-0.19831690399875268,0.26327960645407816,0.8,0.0,5
null,M_E,beta_mu_B_z,0.0,-0.01653589779759596,-0.01653589779759596,0.06333833710320397,1.0,0.0,5
null,M_E,beta_mu_Myeloid_z,0.0,-0.013354648932845003,-0.013354648932845003,0.05374940920862073,1.0,0.0,5
null,M_E,beta_theta_B_z,0.0,-0.05147295204507103,-0.05147295204507103,0.0958451994218276,1.0,0.0,5
null,M_E,beta_theta_Myeloid_z,0.0,-0.10121779146750351,-0.10121779146750351,0.15536396328282792,1.0,0.0,5
null,M_E,mu_0,0.25,0.25509515201399735,0.005095152013997362,0.05337835336931219,1.0,0.0,5
null,M_E,sigma_proc,0.3,0.310483152567765,0.010483152567765008,0.014146868108266535,1.0,0.0,5
null,M_E,theta_0,0.0,0.050977536533562275,0.050977536533562275,0.19661558250006833,0.8,0.0,5
