project,annotation_column,original_annotation,broad_class,cell_count,fraction_within_project,fraction_within_project_percent
SCPCP000008,submitter_celltype_annotation,B,B,11013,0.0093846825074903,0.93846825074903
SCPCP000008,submitter_celltype_annotation,Plasmablast,B,184,0.000156794840768,0.0156794840768
SCPCP000008,submitter_celltype_annotation,Blast,Blast_Malignant,424868,0.3620495130838477,36.20495130838477
SCPCP000008,submitter_celltype_annotation,Erythroid,Erythroid,17267,0.0147140028018556,1.47140028018556
SCPCP000008,submitter_celltype_annotation,Submitter-excluded,Excluded,684580,0.5833620222444159,58.33620222444159
SCPCP000008,submitter_celltype_annotation,DC,Myeloid,1242,0.0010583651751841,0.10583651751841
SCPCP000008,submitter_celltype_annotation,Monocyte,Myeloid,4798,0.0040885959022009,0.40885959022009005
SCPCP000008,submitter_celltype_annotation,HSC/MPP and pro.,Progenitor,2439,0.00207838378605,0.20783837860499998
SCPCP000008,submitter_celltype_annotation,T_NK,TNK,27117,0.0231076396581872,2.31076396581872
SCPCP000022,consensus_celltype_annotation,B cell,B,420,0.0159290021617931,1.59290021617931
SCPCP000022,consensus_celltype_annotation,"B cell, CD19-positive",B,1,3.792619562331703e-05,0.0037926195623317026
SCPCP000022,consensus_celltype_annotation,antibody secreting cell,B,1,3.792619562331703e-05,0.0037926195623317026
SCPCP000022,consensus_celltype_annotation,lymphocyte of B lineage,B,19,0.000720597716843,0.0720597716843
SCPCP000022,consensus_celltype_annotation,mature B cell,B,17,0.0006447453255963,0.06447453255963
SCPCP000022,consensus_celltype_annotation,memory B cell,B,8,0.0003034095649865,0.03034095649865
SCPCP000022,consensus_celltype_annotation,naive B cell,B,36,0.0013653430424394,0.13653430424394
SCPCP000022,consensus_celltype_annotation,plasma cell,B,30,0.0011377858686995,0.11377858686995
SCPCP000022,consensus_celltype_annotation,plasmacytoid dendritic cell,B,7,0.0002654833693632,0.026548336936320003
SCPCP000022,consensus_celltype_annotation,fibroblast,Blast_Malignant,1,3.792619562331703e-05,0.0037926195623317026
SCPCP000022,consensus_celltype_annotation,erythrocyte,Erythroid,757,0.0287101300868509,2.87101300868509
SCPCP000022,consensus_celltype_annotation,erythroid lineage cell,Erythroid,419,0.0158910759661698,1.58910759661698
SCPCP000022,consensus_celltype_annotation,dendritic cell,Myeloid,7,0.0002654833693632,0.026548336936320003
SCPCP000022,consensus_celltype_annotation,granulocyte,Myeloid,1,3.792619562331703e-05,0.0037926195623317026
SCPCP000022,consensus_celltype_annotation,macrophage,Myeloid,1,3.792619562331703e-05,0.0037926195623317026
SCPCP000022,consensus_celltype_annotation,monocyte,Myeloid,110,0.0041718815185648,0.41718815185648
SCPCP000022,consensus_celltype_annotation,mononuclear phagocyte,Myeloid,6,0.0002275571737399,0.02275571737399
SCPCP000022,consensus_celltype_annotation,myeloid leukocyte,Myeloid,9,0.0003413357606098,0.03413357606098
SCPCP000022,consensus_celltype_annotation,megakaryocyte,Other,14,0.0005309667387264,0.053096673872640006
SCPCP000022,consensus_celltype_annotation,common lymphoid progenitor,Progenitor,894,0.0339060188872454,3.39060188872454
SCPCP000022,consensus_celltype_annotation,hematopoietic oligopotent progenitor cell,Progenitor,60,0.002275571737399,0.2275571737399
SCPCP000022,consensus_celltype_annotation,hematopoietic precursor cell,Progenitor,983,0.0372814502977206,3.72814502977206
SCPCP000022,consensus_celltype_annotation,hematopoietic stem cell,Progenitor,63,0.0023893503242689,0.23893503242689001
SCPCP000022,consensus_celltype_annotation,platelet,Stromal,1,3.792619562331703e-05,0.0037926195623317026
SCPCP000022,consensus_celltype_annotation,"CD4-positive, alpha-beta T cell",TNK,250,0.0094815489058292,0.9481548905829199
SCPCP000022,consensus_celltype_annotation,"CD4-positive, alpha-beta memory T cell",TNK,3,0.0001137785868699,0.01137785868699
SCPCP000022,consensus_celltype_annotation,"CD8-positive, alpha-beta T cell",TNK,249,0.0094436227102059,0.94436227102059
SCPCP000022,consensus_celltype_annotation,"CD8-positive, alpha-beta memory T cell",TNK,4,0.0001517047824932,0.01517047824932
SCPCP000022,consensus_celltype_annotation,T cell,TNK,27,0.0010240072818295,0.10240072818295
SCPCP000022,consensus_celltype_annotation,alpha-beta T cell,TNK,2,7.585239124663405e-05,0.007585239124663405
SCPCP000022,consensus_celltype_annotation,mature NK T cell,TNK,1,3.792619562331703e-05,0.0037926195623317026
SCPCP000022,consensus_celltype_annotation,mature T cell,TNK,32,0.0012136382599461,0.12136382599461
SCPCP000022,consensus_celltype_annotation,mature alpha-beta T cell,TNK,50,0.0018963097811658,0.18963097811658
SCPCP000022,consensus_celltype_annotation,memory T cell,TNK,22,0.0008343763037129,0.08343763037129001
SCPCP000022,consensus_celltype_annotation,natural killer cell,TNK,161,0.006106117495354,0.6106117495354
SCPCP000022,consensus_celltype_annotation,regulatory T cell,TNK,2,7.585239124663405e-05,0.007585239124663405
SCPCP000022,consensus_celltype_annotation,Unknown,Unknown,21699,0.8229605188303561,82.29605188303562
