project,broad_class,cell_count,total_project_cells,fraction_within_project,fraction_within_project_percent
SCPCP000008,B,11197,1173508,0.009541477348258384,0.9541477348258384
SCPCP000008,Blast_Malignant,424868,1173508,0.36204951308384775,36.20495130838478
SCPCP000008,Erythroid,17267,1173508,0.014714002801855633,1.4714002801855632
SCPCP000008,Excluded,684580,1173508,0.5833620222444159,58.33620222444159
SCPCP000008,Myeloid,6040,1173508,0.005146961077385071,0.514696107738507
SCPCP000008,Progenitor,2439,1173508,0.002078383786050031,0.20783837860500312
SCPCP000008,TNK,27117,1173508,0.023107639658187247,2.3107639658187247
SCPCP000022,B,539,26367,0.020442219440967878,2.0442219440967877
SCPCP000022,Blast_Malignant,1,26367,3.792619562331703e-05,0.0037926195623317026
SCPCP000022,Erythroid,1176,26367,0.04460120605302082,4.460120605302082
SCPCP000022,Myeloid,134,26367,0.005082110213524481,0.5082110213524481
SCPCP000022,Other,14,26367,0.0005309667387264383,0.05309667387264383
SCPCP000022,Progenitor,2000,26367,0.07585239124663405,7.585239124663405
SCPCP000022,Stromal,1,26367,3.792619562331703e-05,0.0037926195623317026
SCPCP000022,TNK,803,26367,0.03045473508552357,3.045473508552357
SCPCP000022,Unknown,21699,26367,0.8229605188303561,82.29605188303562
