cohort,representation,k,n,min_cluster_n,max_cluster_n,cluster_size_cv,silhouette,project_cramers_v,diagnosis_cramers_v,raw_vs_clr_ARI,n_C1,n_C2,n_C3,n_C4,n_C5,n_C6
Primary eligible cohort,clr,2,104,20,84,0.6153846153846154,0.7239981129065458,0.0714285714285714,0.1096586158266281,-0.0351658758612692,20,84,,,,
Primary eligible cohort,raw,2,104,28,76,0.4615384615384615,0.496145436677455,0.0338485073005195,0.0775811508435096,-0.0351658758612692,76,28,,,,
Primary eligible cohort,clr,3,104,6,80,0.9354143466934852,0.7881189868700703,0.2014005196422524,0.0870388279778489,-0.0603322329010474,6,18,80.0,,,
Primary eligible cohort,raw,3,104,5,75,0.8525761518331113,0.5227895775451539,0.1286066971027657,0.0760172317874015,-0.0603322329010474,75,24,5.0,,,
Primary eligible cohort,clr,4,104,2,78,1.1766968108291045,0.826461712406473,0.2345771835163322,0.0917469804271967,0.0419640925805753,6,18,78.0,2.0,,
Primary eligible cohort,raw,4,104,5,49,0.7740235306730041,0.4424361268197992,0.3603698539313227,0.1302077895100176,0.0419640925805753,49,43,5.0,7.0,,
Primary eligible cohort,clr,5,104,2,78,1.4047678744422825,0.8503978443402078,0.2345771835163322,0.0917469804271967,0.1120643291648173,2,4,18.0,78.0,2.0,
Primary eligible cohort,raw,5,104,5,49,0.7706717272889952,0.4513886009753208,0.3794389917715808,0.116296766446192,0.1120643291648173,25,49,19.0,5.0,6.0,
Primary eligible cohort,clr,6,104,2,55,1.0791529112767846,0.5080561281579984,0.2363039461583106,0.1998422342575389,0.2098138413731013,2,4,55.0,18.0,23.0,2.0
Primary eligible cohort,raw,6,104,5,36,0.6299361290061232,0.4391131919439746,0.3790554428669537,0.2628582997760436,0.2098138413731013,26,36,14.0,17.0,5.0,6.0
