cohort,representation,k,metric,cluster,mean,median,q05,q95,n_boot_effective
Primary eligible cohort,clr,2,global_pairwise_agreement,ALL,0.987663928304705,1.0,0.9253174010455564,1.0,500
Primary eligible cohort,clr,2,cluster_jaccard,C1,0.9699672727272728,1.0,0.8181818181818182,1.0,500
Primary eligible cohort,clr,2,cluster_jaccard,C2,0.9922106703146374,1.0,0.9534883720930232,1.0,500
Primary eligible cohort,raw,2,global_pairwise_agreement,ALL,0.913457430918596,0.943427931292009,0.697862210604929,1.0,500
Primary eligible cohort,raw,2,cluster_jaccard,C1,0.9394528334170084,0.961275816122585,0.7835051546391752,1.0,500
Primary eligible cohort,raw,2,cluster_jaccard,C2,0.8361024355841639,0.8980414746543779,0.509090909090909,1.0,500
Primary eligible cohort,clr,3,global_pairwise_agreement,ALL,0.9815892457057503,1.0,0.904406273338312,1.0,500
Primary eligible cohort,clr,3,cluster_jaccard,C1,0.8331666666666667,1.0,0.0833333333333333,1.0,500
Primary eligible cohort,clr,3,cluster_jaccard,C2,0.978975,1.0,0.9,1.0,500
Primary eligible cohort,clr,3,cluster_jaccard,C3,0.9862918367346938,1.0,0.9285714285714286,1.0,500
Primary eligible cohort,raw,3,global_pairwise_agreement,ALL,0.805144137415982,0.8020911127707244,0.6022591486183719,1.0,500
Primary eligible cohort,raw,3,cluster_jaccard,C1,0.8218075183300695,0.8620689655172413,0.564631507775524,1.0,500
Primary eligible cohort,raw,3,cluster_jaccard,C2,0.6249358203451446,0.5416666666666666,0.2916666666666667,1.0,500
Primary eligible cohort,raw,3,cluster_jaccard,C3,0.6086657571634928,0.8333333333333334,0.1020408163265306,1.0,500
Primary eligible cohort,clr,4,global_pairwise_agreement,ALL,0.9880250186706498,1.0,0.969380134428678,1.0,500
Primary eligible cohort,clr,4,cluster_jaccard,C1,0.9506666666666668,1.0,0.6666666666666666,1.0,500
Primary eligible cohort,clr,4,cluster_jaccard,C2,1.0,1.0,1.0,1.0,500
