cohort,representation,k,n,min_cluster_n,max_cluster_n,cluster_size_cv,silhouette,project_cramers_v,raw_vs_clr_ARI,n_C1,n_C2,n_C3,n_C4,n_C5,n_C6
B-ALL sensitivity cohort,clr,2,99,20,79,0.5959595959595959,0.7173039802471332,0.1382040580578327,-0.0340736307507988,20,79,,,,
B-ALL sensitivity cohort,raw,2,99,26,73,0.4747474747474747,0.5055478574594886,0.0038798762494407,-0.0340736307507988,73,26,,,,
B-ALL sensitivity cohort,clr,3,99,6,75,0.9121161783813584,0.7846050461843633,0.2759974695076083,-0.0595687881438089,6,18,75.0,,,
B-ALL sensitivity cohort,raw,3,99,5,72,0.8617292428784307,0.5355250671101515,0.1030295072543752,-0.0595687881438089,72,22,5.0,,,
B-ALL sensitivity cohort,clr,4,99,2,73,1.1504070514571982,0.8247003977167132,0.318044689375716,0.0251599842547174,6,18,73.0,2.0,,
B-ALL sensitivity cohort,raw,4,99,6,45,0.7397222873082692,0.4366031855913723,0.4607496602636909,0.0251599842547174,45,41,6.0,7.0,,
B-ALL sensitivity cohort,clr,5,99,2,73,1.377001469733493,0.8498319739667441,0.318044689375716,0.1188768288181101,2,4,18.0,73.0,2.0,
B-ALL sensitivity cohort,raw,5,99,5,47,0.774161868943827,0.4539082187775726,0.4670297292290816,0.1188768288181101,24,47,17.0,5.0,6.0,
B-ALL sensitivity cohort,clr,6,99,2,53,1.085141882338725,0.5259815196636975,0.3251315765631918,0.2011124656364596,2,4,53.0,18.0,20.0,2.0
B-ALL sensitivity cohort,raw,6,99,5,35,0.6440136617897002,0.4446802241528454,0.4699688801392276,0.2011124656364596,25,35,12.0,16.0,5.0,6.0
