cohort,representation,k,metric,cluster,mean,median,q05,q95,n_boot_effective
B-ALL sensitivity cohort,clr,2,global_pairwise_agreement,ALL,0.9837856112141826,1.0,0.9216656359513502,1.0,500
B-ALL sensitivity cohort,clr,2,cluster_jaccard,C1,0.9623655502392344,1.0,0.8181818181818182,1.0,500
B-ALL sensitivity cohort,clr,2,cluster_jaccard,C2,0.9896184294259897,1.0,0.9506172839506172,1.0,500
B-ALL sensitivity cohort,raw,2,global_pairwise_agreement,ALL,0.8979773242630386,0.8849721706864564,0.6866625438054009,1.0,500
B-ALL sensitivity cohort,raw,2,cluster_jaccard,C1,0.9293310463104084,0.9240506329113924,0.7934782608695652,1.0,500
B-ALL sensitivity cohort,raw,2,cluster_jaccard,C2,0.8016511178826615,0.7692307692307693,0.5,1.0,500
B-ALL sensitivity cohort,clr,3,global_pairwise_agreement,ALL,0.9824819624819624,1.0,0.9006390434961864,1.0,500
B-ALL sensitivity cohort,clr,3,cluster_jaccard,C1,0.846,1.0,0.0833333333333333,1.0,500
B-ALL sensitivity cohort,clr,3,cluster_jaccard,C2,0.981,1.0,0.9,1.0,500
B-ALL sensitivity cohort,clr,3,cluster_jaccard,C3,0.9866538396624472,1.0,0.9240506329113924,1.0,500
B-ALL sensitivity cohort,raw,3,global_pairwise_agreement,ALL,0.8163413729128015,0.8268398268398268,0.6064728921871779,1.0,500
B-ALL sensitivity cohort,raw,3,cluster_jaccard,C1,0.8290336107663545,0.8780487804878049,0.5541530829199149,1.0,500
B-ALL sensitivity cohort,raw,3,cluster_jaccard,C2,0.6476242373582873,0.5909090909090909,0.3076923076923077,1.0,500
B-ALL sensitivity cohort,raw,3,cluster_jaccard,C3,0.6694011285073195,0.8333333333333334,0.108695652173913,1.0,500
B-ALL sensitivity cohort,clr,4,global_pairwise_agreement,ALL,0.9884155844155844,1.0,0.9682539682539684,1.0,500
B-ALL sensitivity cohort,clr,4,cluster_jaccard,C1,0.9533333333333334,1.0,0.6666666666666666,1.0,500
B-ALL sensitivity cohort,clr,4,cluster_jaccard,C2,1.0,1.0,1.0,1.0,500
B-ALL sensitivity cohort,clr,4,cluster_jaccard,C3,0.9866301369863012,1.0,0.9733333333333334,1.0,500
B-ALL sensitivity cohort,clr,4,cluster_jaccard,C4,0.8358709449603791,1.0,0.0266666666666666,1.0,500
B-ALL sensitivity cohort,raw,4,global_pairwise_agreement,ALL,0.82737703566275,0.8281797567511853,0.6759431045145331,0.9727994227994228,500
B-ALL sensitivity cohort,raw,4,cluster_jaccard,C1,0.7678495240891171,0.8035714285714286,0.5333333333333333,0.9777777777777776,500
B-ALL sensitivity cohort,raw,4,cluster_jaccard,C2,0.7370757937410756,0.7592592592592593,0.4354838709677419,0.9534883720930232,500
B-ALL sensitivity cohort,raw,4,cluster_jaccard,C3,0.845304754420544,0.8333333333333334,0.4271428571428572,1.0,500
B-ALL sensitivity cohort,raw,4,cluster_jaccard,C4,0.7904846663603966,0.8571428571428571,0.3181818181818182,1.0,500
B-ALL sensitivity cohort,clr,5,global_pairwise_agreement,ALL,0.930109668109668,1.0,0.7262420119562977,1.0,500
B-ALL sensitivity cohort,clr,5,cluster_jaccard,C1,0.8609333333333334,1.0,0.3333333333333333,1.0,500
B-ALL sensitivity cohort,clr,5,cluster_jaccard,C2,0.9298666666666664,1.0,0.6666666666666666,1.0,500
B-ALL sensitivity cohort,clr,5,cluster_jaccard,C3,0.999777777777778,1.0,1.0,1.0,500
B-ALL sensitivity cohort,clr,5,cluster_jaccard,C4,0.9081979908675798,1.0,0.5753424657534246,1.0,500
B-ALL sensitivity cohort,clr,5,cluster_jaccard,C5,0.8860490823550726,1.0,0.0902097902097902,1.0,500
B-ALL sensitivity cohort,raw,5,global_pairwise_agreement,ALL,0.9420366934652648,0.9727891156462584,0.7558750773036488,1.0,500
B-ALL sensitivity cohort,raw,5,cluster_jaccard,C1,0.9388252863994508,0.96,0.6847619047619048,1.0,500
B-ALL sensitivity cohort,raw,5,cluster_jaccard,C2,0.8915027112750876,0.9583333333333334,0.4680851063829787,1.0,500
B-ALL sensitivity cohort,raw,5,cluster_jaccard,C3,0.8500402092474381,0.9411764705882352,0.3569327731092437,1.0,500
B-ALL sensitivity cohort,raw,5,cluster_jaccard,C4,0.9490159464718289,1.0,0.8273809523809528,1.0,500
B-ALL sensitivity cohort,raw,5,cluster_jaccard,C5,0.9439761939635274,1.0,0.6,1.0,500
B-ALL sensitivity cohort,clr,6,global_pairwise_agreement,ALL,0.8687124304267161,0.8594104308390023,0.7546691403834261,1.0,500
B-ALL sensitivity cohort,clr,6,cluster_jaccard,C1,0.8876000000000001,1.0,0.3333333333333333,1.0,500
B-ALL sensitivity cohort,clr,6,cluster_jaccard,C2,0.9432,1.0,0.6666666666666666,1.0,500
B-ALL sensitivity cohort,clr,6,cluster_jaccard,C3,0.7716779929261913,0.8153846153846154,0.5076923076923077,1.0,500
B-ALL sensitivity cohort,clr,6,cluster_jaccard,C4,0.998,1.0,1.0,1.0,500
B-ALL sensitivity cohort,clr,6,cluster_jaccard,C5,0.6643128684715729,0.5882352941176471,0.3636363636363636,1.0,500
B-ALL sensitivity cohort,clr,6,cluster_jaccard,C6,0.8691530238002972,1.0,0.0903636363636364,1.0,500
B-ALL sensitivity cohort,raw,6,global_pairwise_agreement,ALL,0.8906353329210471,0.8748711605854463,0.799443413729128,1.0,500
B-ALL sensitivity cohort,raw,6,cluster_jaccard,C1,0.8963169358396541,0.96,0.72,1.0,500
B-ALL sensitivity cohort,raw,6,cluster_jaccard,C2,0.6844398686293273,0.6595744680851063,0.4,1.0,500
B-ALL sensitivity cohort,raw,6,cluster_jaccard,C3,0.5854579246785593,0.5714285714285714,0.2553191489361702,1.0,500
B-ALL sensitivity cohort,raw,6,cluster_jaccard,C4,0.7427276899085127,0.8235294117647058,0.375,1.0,500
B-ALL sensitivity cohort,raw,6,cluster_jaccard,C5,0.9769848484848483,1.0,0.8333333333333334,1.0,500
B-ALL sensitivity cohort,raw,6,cluster_jaccard,C6,0.912248262264052,1.0,0.6666666666666666,1.0,500
