model_A,model_B,mean_delta_elpd_A_minus_B,total_delta_elpd_A_minus_B,se_delta,n_participants,n_A_better,n_B_better,n_ties,z_delta,fraction_A_better,fraction_B_better
M_0,M_B,-0.0674932369571934,-2.2947700565445768,0.1407398752274716,34,13,21,0,-0.47956015910989747,0.38235294117647056,0.6176470588235294
M_0,M_C,0.0652079074605049,2.2170688536571674,0.0436271487994482,34,19,15,0,1.4946635123982626,0.5588235294117647,0.4411764705882353
M_0,M_E,-0.002446095350663,-0.0831672419225424,0.1811102741115663,34,13,21,0,-0.013506110366528259,0.38235294117647056,0.6176470588235294
M_0,M_EC,0.178624299847596,6.073226194818265,0.2626783707355022,34,14,20,0,0.6800114503049721,0.4117647058823529,0.5882352941176471
M_0,M_S,0.0226105083613302,0.768757284285229,0.0733913177049574,34,16,18,0,0.3080815152035745,0.47058823529411764,0.5294117647058824
M_B,M_C,0.1327011444176983,4.511838910201744,0.1224244351781536,34,23,11,0,1.0839432848890822,0.6764705882352942,0.3235294117647059
M_B,M_E,0.0650471416065304,2.2116028146220343,0.1413991654638625,34,15,19,0,0.4600249329134446,0.4411764705882353,0.5588235294117647
M_B,M_EC,0.2461175368047895,8.367996251362843,0.188701855653321,34,18,16,0,1.3042666483203607,0.5294117647058824,0.47058823529411764
M_B,M_S,0.0901037453185237,3.063527340829806,0.1558985153793999,34,22,12,0,0.5779641011926521,0.6470588235294118,0.35294117647058826
M_C,M_E,-0.0676540028111679,-2.30023609557971,0.1680990439958333,34,13,21,0,-0.40246512533911166,0.38235294117647056,0.6176470588235294
M_C,M_EC,0.1134163923870911,3.856157341161097,0.2599618426469061,34,12,22,0,0.4362809219703033,0.35294117647058826,0.6470588235294118
M_C,M_S,-0.0425973990991746,-1.4483115693719384,0.0665486632229489,34,16,18,0,-0.6400939859072202,0.47058823529411764,0.5294117647058824
M_E,M_EC,0.181070395198259,6.156393436740808,0.1709545702260845,34,17,17,0,1.0591725916352892,0.5,0.5
M_E,M_S,0.0250566037119932,0.8519245262077715,0.1889855691918276,34,18,16,0,0.13258474612185753,0.5294117647058824,0.47058823529411764
M_EC,M_S,-0.1560137914862657,-5.304468910533035,0.2793283703817148,34,20,14,0,-0.5585318500697435,0.5882352941176471,0.4117647058823529
