model,ecological_context_k2,n_participants,total_test_transitions,total_heldout_elpd,mean_participant_elpd,median_participant_elpd,mean_lpd_per_transition,max_fold_rhat,min_fold_ess_bulk,folds_with_divergence
M_0,B/Myeloid-shifted,7,38,-10.739826169175766,-1.5342608813108236,-1.8519608874717173,-0.4584293348333036,1.01,567.0,0
M_0,TNK-dominant,27,169,-66.48995628803704,-2.462590973631001,-1.923852680666938,-0.6828869056526521,1.01,446.0,0
M_B,B/Myeloid-shifted,7,38,-10.687340825918634,-1.5267629751312335,-1.8938209265929429,-0.7091738098497945,1.01,768.0,0
M_B,TNK-dominant,27,169,-64.24767157474959,-2.3795433916573923,-1.6495857956805384,-0.5913386250906254,1.01,727.0,0
M_C,B/Myeloid-shifted,7,38,-11.66505377675173,-1.6664362538216757,-2.0218212640719804,-0.5536362416819212,1.01,903.0,0
M_C,TNK-dominant,27,169,-67.78179753411824,-2.510436945708083,-1.8687205359580883,-0.671891799408507,1.01,788.0,0
M_E,B/Myeloid-shifted,7,38,-13.979153358905954,-1.9970219084151364,-2.007192613180016,-0.6521898088050758,1.01,908.0,0
M_E,TNK-dominant,27,169,-63.16746185638431,-2.33953562431053,-1.6453657807855473,-0.5867371751759012,1.01,882.0,0
M_EC,B/Myeloid-shifted,7,38,-14.141052738037665,-2.020150391148238,-1.6930958598328365,-0.6413045941315371,1.01,762.0,0
M_EC,TNK-dominant,27,169,-69.16195591399341,-2.561553922740497,-1.6769033568869078,-0.6097468836176396,1.01,815.0,0
M_S,B/Myeloid-shifted,7,38,-9.51716320531635,-1.3595947436166216,-1.756118799643768,-0.4124462441169427,1.01,747.0,0
M_S,TNK-dominant,27,169,-68.48137653618168,-2.53634727911784,-1.7941198623052506,-0.7106119796439114,1.01,730.0,0
