model,prior_regime,divergences,max_rhat,min_ess_bulk,elpd_loo,p_loo,max_pareto_k,delta_elpd_vs_M0_same_prior
M_0,narrow,0,1.0,2222.0,-91.1768626190198,7.71850518564807,1.0122122855961704,0.0
M_B,narrow,0,1.0,3009.0,-87.61465834782109,9.985519155488674,1.025482914081591,3.562204271198709
M_E,narrow,0,1.0,3209.0,-88.62991560942574,13.08077627929032,1.1742654725780597,2.5469470095940636
M_C,narrow,0,1.0,3275.0,-93.22397119336308,9.993984102077905,1.1073757408817435,-2.0471085743432837
M_0,reference,0,1.0,1990.0,-76.8037784318662,5.925268263347974,1.0785137912215863,0.0
M_B,reference,0,1.0,3341.0,-73.3212527082429,8.149723802200157,1.0083696569066056,3.4825257236233114
M_E,reference,0,1.0,3676.0,-74.67381944696743,11.427608076740867,0.9293339791738422,2.129958984898778
M_C,reference,0,1.0,3146.0,-78.47455261610659,8.139600176950012,1.0205006096745168,-1.6707741842403863
M_0,wide,0,1.0,1896.0,-71.51379564202746,4.527511269476875,0.9098391367191628,0.0
M_B,wide,0,1.0,2826.0,-68.31352352009756,7.125285765931693,0.8441378596857212,3.200272121929899
M_E,wide,0,1.0,2568.0,-69.45603727846573,10.2836419761365,0.865686367719418,2.0577583635617316
M_C,wide,0,1.0,2856.0,-73.46347587567071,7.0634369416793845,0.9742519188254556,-1.9496802336432495
