scenario_display,scenario,model,parameter,true_value,mean_estimate,bias,rmse,coverage_95,mean_divergences,n_replicates
moderate_directional,moderate_directional,M_0,mu_0,0.25,0.2286324543057823,-0.0213675456942177,0.0565996200817189,1.0,0.0,5
moderate_directional,moderate_directional,M_0,sigma_proc,0.3,0.2942606055131239,-0.005739394486876,0.0098584551913732,1.0,0.0,5
moderate_directional,moderate_directional,M_0,theta_0,0.0,-0.0984638852533284,-0.0984638852533284,0.1482792124173338,1.0,0.0,5
moderate_directional,moderate_directional,M_E,beta_mu_B_z,-0.07,-0.0174963871264274,0.0525036128735725,0.0882928348111119,0.8,0.0,5
moderate_directional,moderate_directional,M_E,beta_mu_Myeloid_z,0.03,0.0557366575886173,0.0257366575886172,0.0662509925633438,1.0,0.0,5
moderate_directional,moderate_directional,M_E,beta_theta_B_z,0.2,0.2380666884204454,0.0380666884204454,0.1315653201512775,1.0,0.0,5
moderate_directional,moderate_directional,M_E,beta_theta_Myeloid_z,-0.2,-0.1176217822106583,0.0823782177893417,0.2114406888887741,1.0,0.0,5
moderate_directional,moderate_directional,M_E,mu_0,0.25,0.1947591545447571,-0.0552408454552428,0.0642314510604832,1.0,0.0,5
moderate_directional,moderate_directional,M_E,sigma_proc,0.3,0.2996485800006122,-0.0003514199993877,0.0093033156904972,1.0,0.0,5
moderate_directional,moderate_directional,M_E,theta_0,0.0,-0.085226624400842,-0.085226624400842,0.1326343361809704,1.0,0.0,5
Unlabeled source scenario (zero ecological coefficients),,M_0,mu_0,0.25,0.1500506668456107,-0.0999493331543893,0.1318929376567051,1.0,0.0,5
Unlabeled source scenario (zero ecological coefficients),,M_0,sigma_proc,0.3,0.3009732232801619,0.0009732232801619,0.0167193695436322,1.0,0.0,5
Unlabeled source scenario (zero ecological coefficients),,M_0,theta_0,0.0,-0.1983169039987526,-0.1983169039987526,0.2632796064540781,0.8,0.0,5
Unlabeled source scenario (zero ecological coefficients),,M_E,beta_mu_B_z,0.0,-0.0165358977975959,-0.0165358977975959,0.0633383371032039,1.0,0.0,5
Unlabeled source scenario (zero ecological coefficients),,M_E,beta_mu_Myeloid_z,0.0,-0.013354648932845,-0.013354648932845,0.0537494092086207,1.0,0.0,5
Unlabeled source scenario (zero ecological coefficients),,M_E,beta_theta_B_z,0.0,-0.051472952045071,-0.051472952045071,0.0958451994218276,1.0,0.0,5
Unlabeled source scenario (zero ecological coefficients),,M_E,beta_theta_Myeloid_z,0.0,-0.1012177914675035,-0.1012177914675035,0.1553639632828279,1.0,0.0,5
Unlabeled source scenario (zero ecological coefficients),,M_E,mu_0,0.25,0.2550951520139973,0.0050951520139973,0.0533783533693121,1.0,0.0,5
Unlabeled source scenario (zero ecological coefficients),,M_E,sigma_proc,0.3,0.310483152567765,0.010483152567765,0.0141468681082665,1.0,0.0,5
Unlabeled source scenario (zero ecological coefficients),,M_E,theta_0,0.0,0.0509775365335622,0.0509775365335622,0.1966155825000683,0.8,0.0,5
